playerID,yearID,teamID,lgID,inseason,half,G,W,L,rank
hanlone01,1892,BLN,NL,3,1,56,17,39,12
hanlone01,1892,BLN,NL,3,2,77,26,46,10
vanhage01,1892,BLN,NL,1,1,11,1,10,12
waltzjo99,1892,BLN,NL,2,1,8,2,6,12
wardjo01,1892,BRO,NL,1,1,78,51,26,2
wardjo01,1892,BRO,NL,1,2,80,44,33,3
seleefr99,1892,BSN,NL,1,1,75,52,22,1
seleefr99,1892,BSN,NL,1,2,77,50,26,2
ansonca01,1892,CHN,NL,1,1,71,31,39,8
ansonca01,1892,CHN,NL,1,2,76,39,37,7
comisch01,1892,CIN,NL,1,1,77,44,31,4
comisch01,1892,CIN,NL,1,2,78,38,37,8
tebeapa01,1892,CL4,NL,1,1,74,40,33,5
tebeapa01,1892,CL4,NL,1,2,79,53,23,1
chapmja01,1892,LS3,NL,1,1,54,21,33,11
pfefffr01,1892,LS3,NL,2,1,23,9,14,11
pfefffr01,1892,LS3,NL,2,2,77,33,42,9
powerpa99,1892,NY1,NL,1,1,74,31,43,10
powerpa99,1892,NY1,NL,1,2,79,40,37,6
wrighha01,1892,PHI,NL,1,1,77,46,30,3
wrighha01,1892,PHI,NL,1,2,78,41,36,5
buckeal99,1892,PIT,NL,1,1,29,15,14,6
buckeal99,1892,PIT,NL,3,2,66,38,27,4
burnsto01,1892,PIT,NL,2,1,47,22,25,6
burnsto01,1892,PIT,NL,2,2,13,5,7,4
